exp_id,article_id,user,time,page_id,sentence_id,word,need_prediction,sentence_understand,mind_wandering,total_dwell_time_of_sentence,saccade_times_of_sentence,forward_times_of_sentence,backward_times_of_sentence,horizontal_saccade_proportion,saccade_velocity,saccade_duration,total_dwell_time_of_sentence_div_syllable,saccade_times_of_sentence_div_syllable,forward_times_of_sentence_div_syllable,backward_times_of_sentence_div_syllable,horizontal_saccade_proportion_div_syllable,saccade_velocity_div_syllable,saccade_duration_div_syllable,total_dwell_time_of_sentence_div_log,saccade_times_of_sentence_div_log,forward_times_of_sentence_div_log,backward_times_of_sentence_div_log,horizontal_saccade_proportion_div_log,saccade_velocity_div_log,saccade_duration_div_log,length
902,39,qxy,0,1588,0,Senior Iranian figures have expressed concern over the death in custody last week of a young woman arrested for allegedly violating the official female dress code,0,1,1,5533,16,14,2,0.875,-0.03196715032554583,-106412,125.75,0.36363636363636365,0.3181818181818182,0.045454545454545456,0.019886363636363636,-0.0007265261437624053,-2418.4545454545455,137.74279209799417,0.3983164058499741,0.34852685511872733,0.04978955073124676,0.021782928444920458,-0.0007958150264335778,-2649.102836206715,137
902,39,qxy,0,1588,1,The speaker of parliament said the Domestic Affairs Committee should probe the methods used by the morality police in order to prevent any repetition of Mahsa Amini’s death,0,1,1,6650,17,14,3,0.8823529411764706,1.2987117290525436,4175,141.48936170212767,0.3617021276595745,0.2978723404255319,0.06382978723404255,0.018773466833541926,0.02763216444792646,88.82978723404256,156.6789334348981,0.40053261178846133,0.32985038617873286,0.07068222560972848,0.020788889885214257,0.030598611811630816,98.36609730687212,145
902,39,qxy,0,1588,2,A court in the English city of Leicester has jailed a man for ten months for his part in recent clashes between groups of Hindus and Muslims,0,1,1,3522,10,8,2,0.9,0.6063157962104696,3679,103.58823529411765,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.026470588235294117,0.017832817535602046,108.20588235294117,100.96557667870657,0.2866711433239823,0.22933691465918585,0.05733422866479646,0.02580040289915841,0.0173813242515046,105.4663136288931,114
902,39,qxy,0,1588,3,"47 have been arrested in relation to the unrest, which reportedly started after an India-Pakistan cricket match",0,1,0,2884,8,8,0,0.875,0.8517559914114162,1932,90.125,0.25,0.25,0.0,0.02734375,0.026617374731606757,60.375,109.19957406655136,0.30291143985173746,0.30291143985173746,0.0,0.03313093873378378,0.032250829220097026,73.1531127241946,95
902,39,qxy,0,1588,4,25 police officers have been injured in the disorder,0,1,0,1709,5,4,1,0.8,2.272601558847553,815,113.93333333333334,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.05333333333333334,0.15150677058983686,54.333333333333336,129.92198222391622,0.38011112411912296,0.30408889929529836,0.07602222482382459,0.06081777985905968,0.1727682266416829,61.958113231417045,44
902,39,qxy,0,1588,5,Leicestershire’s acting police chief Rob Nixon said social media was being used to stoke division,0,1,0,3337,9,8,1,0.8888888888888888,1.371519961820432,1686,133.48,0.36,0.32,0.04,0.035555555555555556,0.054860798472817274,67.44,139.40494017691384,0.37597976074085243,0.33420423176964664,0.04177552897120583,0.037133803529960735,0.05729597189961656,70.43354184545302,83
902,39,qxy,0,1588,6,What we know people are doing is that they're receiving fake news via social media and then they're falling on,0,1,1,3912,12,9,3,0.9166666666666666,0.4617179245461246,7268,144.88888888888889,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.033950617283950615,0.01710066387207869,269.18518518518516,137.11692696329882,0.42060407043956693,0.3154530528296752,0.10515101760989173,0.03212947760302247,0.01618336987158407,254.74586532956437,91
902,39,qxy,0,1588,7,There are significant things on there which are false,0,1,1,1939,6,5,1,0.8333333333333334,1.0584023502731936,2184,161.58333333333334,0.5,0.4166666666666667,0.08333333333333333,0.06944444444444445,0.08820019585609946,182.0,143.4407325325808,0.44385992532000246,0.3698832711000021,0.07397665422000041,0.06164721185000035,0.0782970646917958,161.5650128164809,45
902,39,qxy,0,1588,8,"You know, people saying that people have been assaulted",0,1,1,3097,7,5,2,1.0,0.8927527374586197,935,221.21428571428572,0.5,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0637680526756157,66.78571428571429,214.4820574848553,0.4847834686451363,0.34627390617509735,0.13850956247003893,0.06925478123501946,0.06182739552966148,64.7532204547432,47
902,39,qxy,0,1588,9,Attacks on religious establishments are being put out there in order to raise fear and to galvanize people to come to Leicester,0,1,1,5629,14,11,3,0.8571428571428571,1.4622863707497102,2687,165.55882352941177,0.4117647058823529,0.3235294117647059,0.08823529411764706,0.025210084033613443,0.04300842266910913,79.02941176470588,183.1636917853864,0.45555013057299865,0.35793224545021324,0.09761788512278542,0.027890824320795836,0.04758176765215334,87.43308577497481,106
902,39,qxy,0,1588,10,"The full force of hurricane Fiona has been battering Grand Turk, the main island at the British Caribbean territory of Turks and Caicos",0,0,1,5389,13,9,4,0.9230769230769231,0.8345678490592324,3973,163.3030303030303,0.3939393939393939,0.2727272727272727,0.12121212121212122,0.027972027972027972,0.02528993481997674,120.39393939393939,158.04954472458567,0.381266298277902,0.2639535911154706,0.11731270716243138,0.02707216319133032,0.02447635342096649,116.52084638908497,113
